Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;06:08;06:09;2;TV4;TV4VÄDRET;5679874;Nyheter;Övriga nyheter/Väder;Väder;0,800 %;0,630 %;0,368 %;82;41;15;54,581 %;51,364 %;54,316 %
2024-08-27;06:10;06:10;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;0,791 %;0,641 %;0,391 %;81;42;16;54,031 %;50,710 %;55,847 %
2024-08-27;06:11;06:33;23;Kanal5;HOUSE HUNTERS INTERNATION;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,023 %;0,022 %;0,020 %;2;1;1;1,301 %;1,619 %;3,549 %
2024-08-27;06:16;06:24;9;TV4;NYHETSMORGON;7647913;Blandmagasin;Morgonmagasin;-;0,746 %;0,532 %;0,284 %;76;35;11;44,842 %;42,082 %;51,487 %
2024-08-27;06:27;06:29;3;SVT1;VÄDER;1410118-171A;Nyheter;Övriga nyheter/Väder;Väder;0,742 %;0,360 %;0,182 %;76;23;7;36,019 %;23,048 %;29,854 %
2024-08-27;06:30;06:34;5;SVT1;RAPPORT;1410132-171A;Nyheter;Huvudnyheter;Nyhetssändningar;0,788 %;0,426 %;0,181 %;81;28;7;34,815 %;26,146 %;26,931 %
2024-08-27;06:30;06:54;25;TV3;NANNY;10.5240/6DF6-8301-CAEA-C3CB-98B6-A;Fiktion/Film;TV-serier;Komedi;0,016 %;0,024 %;0,000 %;2;2;0;0,653 %;1,324 %;0,000 %
2024-08-27;06:30;06:34;5;TV4;NYHETERNA;5679952;Nyheter;Huvudnyheter;Nyhetssändningar;0,986 %;0,825 %;0,369 %;101;54;15;43,559 %;50,661 %;54,980 %
2024-08-27;06:34;07:20;47;Kanal5;GOOD BONES;;Fakta;Konsumentprogram;-;0,068 %;0,079 %;0,042 %;7;5;2;2,275 %;3,500 %;5,346 %
2024-08-27;06:35;06:41;7;SVT1;MORGONSTUDION;1410104-171A;Blandmagasin;Morgonmagasin;-;0,857 %;0,478 %;0,172 %;88;31;7;37,017 %;28,206 %;26,845 %
